dataset_index,language,text,correction
33,english,"David Lynch ist tot: US-Filmemacher mit 78 Jahren gestorben >David Wants to Fly is a 2010 German documentary film that follows its director, Berlin-based, film school graduate David Sieveking, as he interacts with his film hero David Lynch, and explores the Transcendental Meditation movement. The film chronicles a period of time in Sieveking's life that includes his off-and-on relationship with his girlfriend as well as his travels to the United States, Holland and India. The film has received awards and honorable mentions as well as criticism.","David Lynch ist tot: US-Filmemacher mit 78 Jahren gestorben. ""David Wants to Fly"" ist ein deutscher Dokumentarfilm von 2010, der seinen Regisseur, den in Berlin lebenden Filmhochschulabsolventen David Sieveking, begleitet, während er mit seinem Filmhelden David Lynch interagiert und die Transzendentale Meditation untersucht. Der Film beschreibt eine Phase in Sievekings Leben, die seine wechselhafte Beziehung zu seiner Freundin sowie seine Reisen in die Vereinigten Staaten, nach Holland und nach Indien umfasst. Der Film hat sowohl Auszeichnungen als auch lobende Erwähnungen erhalten, wurde jedoch auch kritisiert."
34,english,I am starting a Swedish Candy store in Los Angeles Only open on Saturday's?;),I am starting a Swedish candy store in Los Angeles. Is it only open on Saturdays? ;)
35,english,Tory MP’s bill to ban marriage between cousins is ‘damaging’ and ‘unenforceable’ Reports on these kinds of things are not produced monthly. It takes years for trends in population to be spotted.,The Tory MP's proposal to ban marriage between cousins is described as 'damaging' and 'unenforceable.' Reports on such matters are not released monthly; it takes years to observe trends in the population.
36,english,Tulip Siddiq resigned as Treasury minister Does anyone still unironically think this is a clever bit of insight?,Tulip Siddiq has resigned from her position as Treasury Minister. Does anyone still unironically consider this a clever insight?
37,english,"LACPLESIS I always knew Koknesis had some grudge againt Lāčplēsis.Fr tho, kinda surprised that anyone would seek out Lāčplēsis.But then again I myself once had Mītava with a tinge of sweetness to it and was buying them for a good while, but it never actually tasted ""like that 1 time"". It was just mid.","I always knew Koknesis held a grudge against Lāčplēsis. To be honest, I'm a bit surprised that anyone would seek out Lāčplēsis. On the other hand, I once had Mītava that was slightly sweet and purchased it for a while, but it never actually tasted ""like that one time."" It was just mediocre."
38,english,"Education Secretary outlines plans to modernise education sector Yeah, that's a big gauntlet and we won't compete on a global scale against that at all.We can still compete to have good AI sector in this country if we want it. It doesn't need to be the world's biggest, just big enough. Plus there are services that the UK are already really good at that will leverage AI as time goes on. If development is focused on those niches we might be able to carve a good market for ourselves.","The Education Secretary has outlined plans to modernize the education sector. Yes, that presents a significant challenge, and we won't be able to compete on a global scale against that at all.However, we can still aim to develop a competitive AI sector in this country if we wish to. It doesn't need to be the largest in the world, just adequately sized. Additionally, there are services in the UK that are already performing well and will incorporate AI as time progresses. If we concentrate our development efforts on those niches, we might be able to create a viable market for ourselves."
39,english,Thread for 1/27 EODs. Please put guidance as you have it. New supervisor probation vs new Fed probation is a different animal.,Thread for 1/27 EODs. Please provide guidance as you have it. The new supervisor probation and the new Federal probation are distinct issues.
40,english,Petition to rename Gulf of Finland Finns come from Estonia so there!,"Petition to Rename the Gulf of Finland Finns originate from Estonia, so there!"
41,english,Warning over social media comments about Southport attack trial Anyone else dislike the people who use the word 'brigade' brigade?,Warning regarding social media comments related to the Southport attack trial. Does anyone else find it annoying when people use the term 'brigade'?
42,english,"Difference between avslutar and slutar? Interesting seeing other people's explanations that probably make more grammatical sense. My first thought was that avslutar is about finishing something, tieing up all loose ends, getting it done, while slutar is just stopping doing something - could be in the middle of a process.","What is the difference between ""avslutar"" and ""slutar""? It is interesting to observe other people's explanations, which probably make more grammatical sense. My first impression was that ""avslutar"" is about completing something, tying up all loose ends, and getting it done, while ""slutar"" simply means to stop doing something—it could occur in the middle of a process."
43,english,Diminitives of the name Jökull? That's a name? On the list? Cooool!,Diminutives of the name Jökull? Is that a name on the list? Cool!
44,english,"Revealed: drinking water sources in England polluted with forever chemicals Lots of research on going to find ways of breaking down micro plastics. Including natural occuring Algie andenzymes.Source me: i speak to start ups and R&D labs every week.Now scalability weve not reached that yet but theres lots of ongoing projects, research, companies seeking funding to scale.All is not lost, yet.","Revealed: drinking water sources in England are polluted with forever chemicals. A lot of research is ongoing to find ways of breaking down microplastics, including the use of naturally occurring algae and enzymes. Source: I engage with startups and R&D labs weekly. As for scalability, we have not reached that point yet, but there are many ongoing projects, research initiatives, and companies seeking funding to scale. All is not lost yet."
45,english,"Police fear they gamble on their career if they use force, says chief superintendent And the decisions they have to make are in a split second too","According to the chief superintendent, police are concerned they jeopardize their careers if they use force. Moreover, the decisions they must make are often made in a split second."
46,english,"How is life in Latvia? Interesting! It sounds like Riga is still a developing capital, maybe a few years behind the other Baltic capitals in some aspects, but that just means there’s a lot of room for growth. In a few years, it could evolve into something much better.","How is life in Latvia? Interesting! It appears that Riga is still a developing capital, perhaps a few years behind the other Baltic capitals in certain respects, but that just indicates there’s ample room for growth. In a few years, it could evolve into something much better."
47,english,Keir Starmer urged to push for Ukraine to get $300bn of frozen Russian assets No part of the Union other than NI has the right to unilaterally secede.,"Keir Starmer has been urged to advocate for Ukraine to receive $300 billion of frozen Russian assets. No part of the Union, other than Northern Ireland, has the right to unilaterally secede."
48,english,"Train drivers to demand bigger pay deal in new headache for Labour Daily reminder UK train drivers are paid over twice the average of Western European train drivers and almost twice as much as the second highest paid (Danish) train drivers.Their base salary on a 35 hour week before the latest blackmail that increased their salary by around 10% was £70k, which rapidly increases to £100k and above with some overtime. All for a job that requires no skills nor education.","Train drivers are demanding a larger pay deal, presenting a new challenge for Labour. A daily reminder: UK train drivers earn more than twice the average salary of their Western European counterparts and nearly double that of the second highest-paid train drivers (those in Denmark). Their base salary for a 35-hour workweek, prior to the recent increase of around 10% due to negotiations, was £70,000. This can quickly rise to £100,000 and above with overtime. All of this is for a job that requires no specific skills or formal education."
49,english,"Why won't hispanics move to Spain instead of the US?1) employment opportunity in Spain is not as good. And the manual labor market there is mostly filled by Moroccan.2) it's a lot further away from Latin America.That being said, Spain does have large groups of immigrants from South America.","Why won't Hispanics move to Spain instead of the U.S.? 1) Employment opportunities in Spain are not as strong, and the manual labor sector is largely filled by Moroccans. 2) It is significantly farther from Latin America. However, Spain does have substantial communities of immigrants from South America."
50,english,"Half of new hospitals promised by Boris Johnson will not be built for decades If you think Boris getting voted in is a disgrace just wait until the electorate vote in someone just as bad - if not worse.The collective polling percentage for Con + Ref is currently over 50% in England. Over half the English electorate either want the same Tory misrule, corruption and incompetence that characterised most of the last 15 years - or they want what boils down to the same but with extra spicy far right sauce and a side order of xenophobia/racism. And from the same guy who led the charge on Brexit and made countless broken promises no less.What makes me pessimistic is that if this swathe of the electorate apparently haven’t learned anything from the experience of the last decade and a half then very little is likely to shift them at this point. And we’re not talking exactly subtle lessons here, we’re talking bold type 100 point underlined “this guy is a liar” or “these people do not have your best interests at heart” things.","Half of the new hospitals promised by Boris Johnson will not be built for decades. If you think Boris's election is a disgrace, just wait until the electorate votes in someone just as bad—if not worse.The total polling percentage for Conservatives and Reform is currently over 50% in England. More than half of the English electorate either wants the same Tory misrule, corruption, and incompetence that characterized most of the last 15 years, or they want something that is essentially the same but with an extra spicy far-right flavor and a side of xenophobia and racism. And this comes from the same individual who led the charge on Brexit and made countless broken promises, no less.What makes me pessimistic is that if this segment of the electorate apparently hasn’t learned anything from the experiences of the last decade and a half, then very little is likely to change their views at this point. We’re not talking about subtle lessons here; we’re talking about bold, 100-point, underlined messages like ""this guy is a liar"" or ""these people do not have your best interests at heart."""
51,english,‘I doorknocked for Labour then racist deepfake ruined my life’ the almighty one will send the ghoul back to hell inshallah,"‘I doorknocked for Labour; then a racist deepfake ruined my life.’ The Almighty One will send the ghoul back to hell, inshallah."
52,english,US Government to end birthright citizenshipI don't think any other country offers birthright citizenship.Is it outrageous to change this policy?My brother was born overseas due to my parents work and he didn't become a citizen of that country.,"The US government intends to abolish birthright citizenship. I don't believe any other country grants birthright citizenship. Is it outrageous to alter this policy? My brother was born outside the country due to my parents' work, and he did not acquire citizenship there."
53,english,"How Axel Rudakubana was 'planning UK's first high school massacre' but was stopped by his dad a week before he murdered three girls in Southport rampage - as he admits murder, a terror offence and making ricin I saw a study where they asked people to use a software that could create faces to create a whole bunch of different people. Then the software would show them av average facsimile of a face based on real photos relating to the request. E.g. if they were asked to create a coal minor, it would show them what the software thought the average coal minor looked like.They asked them to make sex offenders. The results were almost cartoonish tbh. The male face was exactly what you'd expect and when they asked them to create a female sex offender, the participants created what the researchers called ""a classic representation of a witch"". When it showed what the software had created based on mugshots, the photos the participants made looked absolutely nothing like the people the software made.It's a case of the wig/ toupee fallacy tbh.","How Axel Rudakubana was 'planning the UK's first high school massacre' but was stopped by his father a week before he murdered three girls in a Southport rampage—as he admits to murder, a terror offense, and making ricin. I encountered a study where participants were asked to use software that could create faces to generate a diverse array of different people. The software would then present an average facsimile of a face based on real photos relevant to the request. For example, if they were asked to create a coal miner, it would show them what the software thought the average coal miner looked like.They were instructed to create sex offenders. The results were almost cartoonish, to be honest. The male face was exactly what one would expect, and when they were asked to create a female sex offender, the participants generated what the researchers termed ""a classic representation of a witch."" When it displayed what the software had created based on mugshots, the images the participants produced looked absolutely nothing like the individuals the software generated.It's a case of the wig/toupee fallacy, to be honest."
54,english,Megathread: Job Offer Status TJO 12/20….. still haven’t heard anything. Was getting background investigation done still. Didn’t hear a peep from anyone for a gs7 position,Megathread: Job Offer Status TJO 12/20... I still haven’t heard back. I was still undergoing a background check.I haven’t received any communication regarding the GS-7 position.
55,english,What made you learn Swedish over Danish/Norwegian? I lived in Miami for a short while as a child and the heat and humidity was stifling.,"What prompted you to learn Swedish rather than Danish or Norwegian? I spent a short time living in Miami as a child, and the heat and humidity were overwhelming."
56,english,"trying to find lullaby/game in latvian from my dads childhood.Yes! This! A bit like the “little piggy went to the market “.As far as I remember it was: cooking the porridge (stir in the palm), feeding each finger but not enough for the last one (pinky), go looking for the missing porridge up to the arm and tickle the kid.","I am trying to find a lullaby or game in Latvian from my dad's childhood. Yes! This is a bit like ""This Little Piggy Went to Market."" As I remember, it involved cooking the porridge (stirring in the palm), feeding each finger but not enough for the last one (the pinky), and then searching for the missing porridge up to the arm and tickling the child."
57,english,"Start date needs to be on or before 2-8 For the purposes of this memorandum, a position is not considered vacant if an individual has been given an offer of employment prior to noon on January 20, 2025, has signed an offer letter in acceptance of the position, and has a designated start date on or before February 8, 2025.","The start date must be on or before February 8, 2025. According to this memorandum, a position is not considered vacant if an individual has received an employment offer before noon on January 20, 2025, has signed an acceptance letter for the position, and has a designated start date on or before February 8, 2025."
58,english,"Did they contact your references? And if so, how?I didn’t get an interview, I just got a immediate Tentative job offer and went from there","Did they contact your references? If so, how? I didn’t get an interview; I simply received an immediate tentative job offer and moved forward from there."
59,english,Is there anything set up to protect and make sure deported people are safely and actually arriving at the countries they migrated from? Damn. I’m guessing those detention areas are whatthe whole “cages “ thing was about? Like when they were saying they are locking them in cages?,"Is there a mechanism in place to protect and ensure that deported individuals safely arrive in the countries they migrated from? I take it that those detention facilities are what the ""cages"" discussion was referring to—like when they said they were locking people in cages?"
60,english,Was going to be my first FED job too Unfortunately its 90 days for most agencies but indefinitely for the IRS specifically,"I was going to have my first FED job as well. Unfortunately, the waiting period is 90 days for most agencies, but it is indefinite for the IRS specifically."
61,english,"Need to learn Swedish accent for an acting rolea bunch of people have pasted links I’m sure are useful but some additional ”tells” for me as a Swede… - we generally can’t pronounce Z and will pronounce it as an S bc it just doesn’t exist in our phonetical alphabet, neither does the /zh/ sound. there’s a lot of mixup of j/y and v/w, as well as pronouncing ch as sh, etc - there’s no hard G in Swedish names or words containing /ng/, so if you can say English words (like English!) without the G in there, bonus points","I need to learn the Swedish accent for an acting role. A number of people have posted links that I believe are useful, but I would appreciate some additional ""tells"" from a Swede.- We generally can’t pronounce ""Z"" and will pronounce it as ""S"" because it simply doesn’t exist in our phonetic alphabet. The /zh/ sound is also not present. There’s often a mix-up between ""j/y"" and ""v/w,"" as well as pronouncing ""ch"" as ""sh,"" etc.- There’s no hard ""G"" in Swedish names or words containing /ng/, so if you can say English words (like ""English!"") without the ""G,"" that would earn you bonus points."
62,english,"Guess it’s finally my turn! FJO Congrats - process takes a while, I interviewed for mine in November of last year and just now going through suitability for clearance, patience is def key - I would say for the Feds this is fast given all that is going on","I guess it’s finally my turn! FJO. Congratulations! The process takes time; I interviewed for mine in November of last year and am just now undergoing the suitability for clearance. Patience is definitely key. I would say that for the Feds, this is quite fast given the current circumstances."
63,english,"After traveling to 70 countries by 30, everything feels like “meh” – do world travelers learn to enjoy simple things again? Maldives take my breath off","Having traveled to 70 countries by the age of 30, everything feels like ""meh""—do world travelers learn to appreciate simple things again? The Maldives take my breath away."
64,english,"Reeves committing ‘political suicide’ if she orders spending cuts, warns McDonnell > The problem is we're in debt up to the eyeballs.Ah the household income claptrap, does not apply to government spending or budgeting for the nation.Please, stop it.","According to McDonnell, Reeves would be committing 'political suicide' if she orders spending cuts. The reality is that we are in debt up to our eyeballs. The household income argument does not pertain to government spending or national budgeting. Please stop it."
65,english,"Chinese already speaking English French and Dutch, want to learn nordic languages. I would just choose one, as trying to learn all three will probably scramble them all up in your brain, seeing how similar they all are.","Chinese speakers who already know English, French, and Dutch wish to learn Nordic languages. I would advise choosing just one, as trying to learn all three might mix them up in your mind, considering their similarities."
66,english,Is 50k php enough for a budget of 4 people in Thailand?,"Is 50,000 PHP sufficient for a budget for four people in Thailand?"
67,english,Ministers consider ban on all UK public bodies making ransomware payments Victims are to blame for not adequately securing their data in the first place,Ministers are deliberating on a ban that would prevent all UK public bodies from making ransomware payments. Victims should be held accountable for failing to secure their data properly from the outset.
68,english,"Absolutely devastated Please, where did you hear this? We are freaking out right now with a position my husband was being considered for.",I am absolutely devastated. Please tell me where you heard this. We are freaking out right now about a position my husband is being considered for.
69,english,"Moving to Brno as an expat I love a word expat, it's basically an immigrant but it sounds exquisite 😂 Yup with 100k a month you will live pretty comfortable life here.People generally make much less and by much I mean the median gross income is under 40k a month.","Moving to Brno as an expat I really like the term ""expat""; it’s essentially an immigrant, but it has a more elegant connotation. 😂 With 100k a month, you can live quite comfortably here.In general, people earn much less; specifically, the median gross income is under 40k a month."
70,english,PSA: what Trump can and cannot do Thank you so much for this super helpful clarification of what's actually possible and what's not.,PSA: What Trump Can and Cannot Do Thank you for this extremely helpful clarification regarding what is actually possible and what is not.
